Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Jhonny Severino","MIL","DSL","17-17",198,0.07070707,0.277777777,0.254545454,0.268156424,0.333333333,0.391061452,0.724394785,0.122905028,6.917699243986266,0.368852459,1.5561114648589864,27.85970324637566,-0.5503198170455924,0.35257541982814516,98.06293780255974,"sa3018415"
"Braylin Tavera","BAL","DSL","17-17",185,0.194594594,0.254054054,0.765957446,0.243055555,0.41081081,0.319444444,0.730255254,0.076388889,3.8597893060396284,0.347368421,-0.5442370489472523,30.95483713249068,4.410118613637496,0.3853687966192091,116.61392118550906,"sa3018416"
"Jose De Jesus","TEX","DSL","17-17",229,0.11790393,0.205240174,0.574468085,0.281407035,0.368421052,0.381909547,0.750330599,0.100502512,7.718300637650136,0.353333333,-1.679803933831863,35.0751758646849,2.2171188872936605,0.36792761219286285,106.74756541087989,"sa3018420"
"Nelson Rada","LAA","DSL","16-16",206,0.126213592,0.126213592,1,0.310975609,0.446078431,0.43902439,0.885102821,0.128048781,9.208666792323799,0.364963503,2.446784158004448,43.63174125160699,14.073838468451546,0.440169807725352,147.61446903625378,"sa3018421"
"Anthuan Valencia","CIN","DSL","17-17",156,0.198717948,0.205128205,0.96875,0.15,0.333333333,0.158333333,0.491666666,0.008333333,5.780395138669276,0.2,0.6484982768306509,14.024824937963775,-8.358829596852967,0.28998600863493407,62.656546615963926,"sa3018422"
"Randy De Jesus","LAA","DSL","17-17",210,0.095238095,0.214285714,0.444444444,0.27173913,0.361904761,0.467391304,0.829296065,0.195652174,5.292176980210125,0.325757575,-0.4541169049916789,37.081443627655545,6.9496009846330065,0.39677083804493857,123.06397609653747,"sa3018426"
"Bryan Acuna","MIN","DSL","16-16",171,0.116959064,0.210526315,0.555555555,0.310344827,0.409356725,0.393103448,0.802460173,0.082758621,5.554883063933915,0.409090909,-0.1579815682489425,30.992495720962438,6.456566711644085,0.40251735985627646,126.31474320451443,"sa3018427"
"Michael Arroyo","SEA","DSL","17-17",199,0.135678391,0.165829145,0.818181818,0.31372549,0.457286432,0.48366013,0.940946562,0.16993464,6.234773961860272,0.369747899,-1.136740044108592,45.30457120658715,16.75106317819913,0.4597052242887679,158.66551725113825,"sa3018429"
"Adan Sanchez","CHC","DSL","17-17",164,0.146341463,0.158536585,0.923076923,0.328244274,0.451219512,0.389312977,0.840532489,0.061068703,5.497604523332479,0.401869158,-0.6378733781166375,33.07188035653728,9.540346101986344,0.42766893636889575,140.5428137357481,"sa3018431"
"Henry Ramos","KCR","DSL","17-17",196,0.153061224,0.214285714,0.714285714,0.192546583,0.326530612,0.229813664,0.556344276,0.037267081,5.981490877311359,0.256198347,3.1636085024802014,19.061501536859936,-9.061551596627767,0.29904104899137446,67.77891947358424,"sa3018432"
"Leandro Arias","BAL","DSL","17-17",190,0.142105263,0.215789473,0.658536585,0.216560509,0.343915343,0.305732484,0.649647827,0.089171975,7.276164776280915,0.284482758,0.5458831099094823,24.07302061761568,-3.189122726071379,0.3353206054874198,88.30201027899052,"sa3018433"
"Martin Gonzalez","SEA","DSL","17-17",215,0.148837209,0.4,0.372093023,0.232558139,0.376744186,0.325581395,0.702325581,0.093023256,2.7505124197775666,0.435294117,-1.5417380592552945,32.180628309826,1.3313608419695904,0.3636286926823993,104.31569677742532,"sa3018434"
"Fraymi De Leon","BOS","DSL","17-17",214,0.098130841,0.285046728,0.344262295,0.217877094,0.331753554,0.268156424,0.599909978,0.05027933,7.488958655456063,0.316239316,0.021561754634603858,23.748834341430516,-6.956948161459118,0.31594823943495187,77.34319859523391,"sa3018436"
"Edwin Sanchez","LAD","DSL","17-17",167,0.179640718,0.209580838,0.857142857,0.234375,0.39520958,0.40625,0.80145958,0.171875,3.891055209661733,0.274725274,-0.8553664132487029,29.636796632700836,5.674807483249581,0.397864298906155,123.68253924102765,"sa3018438"
"Enzo Paulino","TBR","DSL","18-18",219,0.09589041,0.182648401,0.525,0.259067357,0.337899543,0.3626943,0.700593843,0.103626943,5.664641747643439,0.31372549,0.4572447899263352,29.297160840790436,-2.1260464869330677,0.34403936578593125,93.23415186502196,"sa3018440"
"David Beckles","NYY","DSL","18-18",209,0.148325358,0.277511961,0.534482758,0.275862068,0.387559808,0.396551724,0.784111532,0.120689656,5.233971322935339,0.380530973,1.072238826425746,35.59586139244252,5.60750371438676,0.3890545670495649,118.69893568226347,"sa3018441"
"Gregori Cano","TOR","DSL","17-17",173,0.196531791,0.294797687,0.666666666,0.257352941,0.410404624,0.338235294,0.748639918,0.080882353,3.0738956408163065,0.392857142,0.4799681529402733,29.39920006317139,4.576301123919492,0.3885894186923959,118.43580451710693,"sa3018442"
"Jerffson Pena","PHI","DSL","18-18",186,0.134408602,0.327956989,0.409836065,0.237179487,0.360215053,0.378205128,0.738420181,0.141025641,8.314521245675808,0.369565217,1.021794091211632,28.5106622312673,1.8224587474473382,0.36807104656773226,106.828705231329,"sa3018443"
"Jose Liriano","BOS","DSL","19-19",174,0.120689655,0.206896551,0.583333333,0.228187919,0.32183908,0.32885906,0.65069814,0.100671141,5.817575665431219,0.280701754,0.2574771086219698,20.15075341393573,-4.815630490282945,0.3219026058395474,80.71154193271366,"sa3018444"
